rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/loss,train/value_loss,train/clip_fraction,train/n_updates,train/clip_range,train/approx_kl
4.32,87,127,178176,3.3163857460021973,1399,0.4843655824661255,-0.009618397858866956,0.0003,-1.105717152543366,1.3671455383300781,3.1499746311455965,0.32470703125,860,0.2,0.11633256
4.43,88,127,180224,3.207385540008545,1415,0.46074628829956055,-0.009278209178592078,0.0003,-1.0691008929163217,1.7761424779891968,3.364651569724083,0.299853515625,870,0.2,0.09612183
4.48,89,127,182272,3.1563854217529297,1431,0.4857550263404846,-0.007017707236809656,0.0003,-0.9752804011106491,1.6202442646026611,3.101767646148801,0.30849609375,880,0.2,0.12880912
4.16,90,127,184320,3.765385627746582,1448,0.4787445664405823,-0.005094018750241958,0.0003,-1.0393467707559467,1.3886051177978516,3.17432179749012,0.321728515625,890,0.2,0.12045159
4.21,91,127,186368,3.498800754547119,1464,0.500583291053772,-0.007020721460867208,0.0003,-0.959333105944097,1.3637462854385376,3.104576998949051,0.29306640625,900,0.2,0.09825397
4.06,92,127,188416,3.9303858280181885,1480,0.5250604152679443,-0.009737533202860504,0.0003,-0.8642540767788887,0.9901928901672363,3.0213771399110554,0.268603515625,910,0.2,0.09281848
4.14,93,127,190464,3.766800880432129,1497,0.5281057357788086,-0.00559466410195455,0.0003,-0.8803125031292438,1.406103253364563,3.026132329180837,0.27314453125,920,0.2,0.12282656
4.38,94,127,192512,3.405385732650757,1513,0.4968569278717041,-0.007322366410517134,0.0003,-0.8839118339121341,1.2174880504608154,3.1410190209746363,0.28525390625,930,0.2,0.117829755
4.27,95,127,194560,3.4203853607177734,1530,0.4683074951171875,-0.012639177290839142,0.0003,-0.8666030699387193,1.2497625350952148,3.054310505092144,0.28193359375,940,0.2,0.13551441
4.08,96,127,196608,3.885385751724243,1546,0.5023617744445801,-0.009190837646019644,0.0003,-0.8054603007622063,1.258055567741394,3.072267898917198,0.27744140625,950,0.2,0.14065596
4.09,97,127,198656,3.8613855838775635,1563,0.5202515125274658,-0.007082848603022285,0.0003,-0.7966578916646541,1.3529322147369385,3.0871326714754104,0.2587890625,960,0.2,0.15443474
3.86,98,127,200704,4.136385917663574,1579,0.4959416389465332,-0.011528404333512298,0.0003,-0.7978776703588665,1.6836436986923218,3.122937297821045,0.290185546875,970,0.2,0.15367092
4.0,99,127,202752,3.9943859577178955,1596,0.5322797298431396,-0.0060534820702741856,0.0003,-0.7317005846649408,1.541514277458191,3.0877874817699196,0.251025390625,980,0.2,0.106914766
4.19,100,127,204800,3.6093854904174805,1612,0.5222470760345459,-0.004115927958628163,0.0003,-0.7294775538146496,1.2069071531295776,2.8800250541418793,0.25126953125,990,0.2,0.11704056
